jcompany,jdescription,jlocation,jpublish,jsalary,jtitle,jurl
Convo.com,https://www.linkedin.com/company/convocorp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Islamabad, Islāmābād, Pakistan",6 days ago,Convo.com,Internal Auditor,https://pk.linkedin.com/jobs/view/internal-auditor-at-convo-com-3727005433?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=iBkdpfqhgErS2e1s4rjOew%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
The Indus Hospital,https://pk.linkedin.com/company/indus-hospital-health-network?trk=public_jobs_jserp-result_job-search-card-subtitle,"Muzaffargarh, Punjab, Pakistan",1 week ago,The Indus Hospital,QA Officer,https://pk.linkedin.com/jobs/view/qa-officer-at-the-indus-hospital-3721911519?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=s5qxQmqnH23xmFUYzsoTtg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",6 months ago,"Government  College University, Faisalabad",Research Assistant Pharmaceutical Chemistry,https://pk.linkedin.com/jobs/view/research-assistant-pharmaceutical-chemistry-at-government-college-university-faisalabad-3557117082?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=2st9Odxnf7r7ul4ZmrTiFg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Premier Sales Private Limited,https://pk.linkedin.com/company/premier-group-pakistan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karachi Division, Sindh, Pakistan",2 months ago,Premier Sales Private Limited,MTO - HR,https://pk.linkedin.com/jobs/view/mto-hr-at-premier-sales-private-limited-3660271381?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=8C2cjCuI4H5N4zVJlWO7dw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Lumikha Teams,https://ph.linkedin.com/company/lumikhateams?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,2 weeks ago,Lumikha Teams,Voice Agent,https://pk.linkedin.com/jobs/view/voice-agent-at-lumikha-teams-3718933774?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=LPPM8AQM%2BLnRdHINa0PyKQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Byte (YC S20),https://pk.linkedin.com/company/byte-app?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lahore, Punjab, Pakistan",3 weeks ago,Byte (YC S20),Restaurant Manager,https://pk.linkedin.com/jobs/view/restaurant-manager-at-byte-yc-s20-3712334667?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=AulmCdQq%2FUj5z%2FdDHjPZaA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
PakWheels.com,https://pk.linkedin.com/company/pakwheels?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",4 months ago,PakWheels.com,Car Technician - Karachi,https://pk.linkedin.com/jobs/view/car-technician-karachi-at-pakwheels-com-3625998018?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=xrYxHYAe5ASxOvhZB4NIMA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
PakWheels.com,https://pk.linkedin.com/company/pakwheels?trk=public_jobs_jserp-result_job-search-card-subtitle,"Multan, Punjab, Pakistan",4 months ago,PakWheels.com,Car Technician - Multan,https://pk.linkedin.com/jobs/view/car-technician-multan-at-pakwheels-com-3625994478?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=Wy0U4C2tV5WlhIParq2%2BCw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",6 months ago,"Government  College University, Faisalabad",Daily Wages (DPL) Staff for Hostels,https://pk.linkedin.com/jobs/view/daily-wages-dpl-staff-for-hostels-at-government-college-university-faisalabad-3557114139?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=XHCqR3asIa%2BYsPWxHVybOA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",1 month ago,"Government  College University, Faisalabad",Research Associate Department of Food Science,https://pk.linkedin.com/jobs/view/research-associate-department-of-food-science-at-government-college-university-faisalabad-3704553432?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=uRIHRbw9K5ZRD82vOyQPaA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Jeeny,https://sa.linkedin.com/company/jeenyme?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",3 weeks ago,Jeeny,Growth Analyst,https://pk.linkedin.com/jobs/view/growth-analyst-at-jeeny-3712646390?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=xoJ813Ey0mZbpWj3Ml2rAg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Reckitt,https://uk.linkedin.com/company/reckitt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",5 hours ago,Reckitt,Senior Buyer - Indirect Procurement,https://pk.linkedin.com/jobs/view/senior-buyer-indirect-procurement-at-reckitt-3731366767?refId=GcsAqn2MdtOfb7HSQbk5oA%3D%3D&trackingId=9emgIhuaEJETQJqopVWLZw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Search Talent,https://pk.linkedin.com/company/searchtalentinfo?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,6 days ago,Search Talent,Assistant Professor,https://pk.linkedin.com/jobs/view/assistant-professor-at-search-talent-3727012599?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=B0k6Mt%2BzKRyoe%2FBkobNtWw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",3 months ago,"Government  College University, Faisalabad",Position Vacant: Research Assistant,https://pk.linkedin.com/jobs/view/position-vacant-research-assistant-at-government-college-university-faisalabad-3665316447?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=p5ReqPiBejywsvZeacFL7Q%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Inbox Business Technologies,https://pk.linkedin.com/company/inbox-business-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Islamabad, Islāmābād, Pakistan",5 months ago,Inbox Business Technologies,IT Support Engineer,https://pk.linkedin.com/jobs/view/it-support-engineer-at-inbox-business-technologies-3597723009?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=dtFDNMHjr8fy4q%2BwpDvcWA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",6 months ago,"Government  College University, Faisalabad",Secretariat Staff Department of Botany,https://pk.linkedin.com/jobs/view/secretariat-staff-department-of-botany-at-government-college-university-faisalabad-3557109933?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=qYj5Q%2BvAf6c5jvQGE4jeNA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Deutsche Bank,https://de.linkedin.com/company/deutsche-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",2 months ago,Deutsche Bank,Know Your Client (KYC) Operato,https://pk.linkedin.com/jobs/view/know-your-client-kyc-operato-at-deutsche-bank-3670884467?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=C3uzqWH%2BgZA7sHe5MJ6kEA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Burq,https://pk.linkedin.com/company/burq?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lahore, Punjab, Pakistan",5 days ago,Burq,Customer Success Manager,https://pk.linkedin.com/jobs/view/customer-success-manager-at-burq-3728701778?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=%2BYQRn2lsq8MFK6pUcRp33g%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",6 months ago,"Government  College University, Faisalabad",Research Assistant Department of Food Science,https://pk.linkedin.com/jobs/view/research-assistant-department-of-food-science-at-government-college-university-faisalabad-3557112617?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=K0Tz%2FwZzcMkQcqJx2Ipovg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",2 months ago,"Government  College University, Faisalabad",Position (Research Assistant) Available in the Department of Environmental Sciences & Engineering,https://pk.linkedin.com/jobs/view/position-research-assistant-available-in-the-department-of-environmental-sciences-engineering-at-government-college-university-faisalabad-3678471461?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=SL12PntkjVripLpeEUoyuQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
British Council,https://uk.linkedin.com/company/british-council?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lahore, Punjab, Pakistan",4 days ago,British Council,Test Day Officer,https://pk.linkedin.com/jobs/view/test-day-officer-at-british-council-3726290268?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=6Qz91q%2FbGy37tGMzogLecQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Jeeny,https://sa.linkedin.com/company/jeenyme?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lahore, Punjab, Pakistan",4 weeks ago,Jeeny,Sr. People Operations,https://pk.linkedin.com/jobs/view/sr-people-operations-at-jeeny-3730041599?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=IvK22rco8XqM0eaA6Q0gUQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",4 months ago,"Government  College University, Faisalabad",Position Vacant: Research Associate in Bioinformatics & Biotechnology (20-3704/NRPU/R&D/HEC/14/744),https://pk.linkedin.com/jobs/view/position-vacant-research-associate-in-bioinformatics-biotechnology-20-3704-nrpu-r-d-hec-14-744-at-government-college-university-faisalabad-3637107564?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=5cJbh2DDwb6XcApVeW5eVw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Finclude,https://pk.linkedin.com/company/finclude?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",1 week ago,Finclude,Chief Operating Officer,https://pk.linkedin.com/jobs/view/chief-operating-officer-at-finclude-3726005784?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=Un20AWtc4OA17xlm3u5Uxw%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Creative Chaos,https://www.linkedin.com/company/creative-chaos?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,2 weeks ago,Creative Chaos,Future Opportunities,https://pk.linkedin.com/jobs/view/future-opportunities-at-creative-chaos-3719413065?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=bUFtowdpxUDnJsmu4x9UtA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
"Educative, Inc.",https://www.linkedin.com/company/educative-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Islamabad, Islāmābād, Pakistan",3 months ago,"Educative, Inc.",Project Manager (Islamabad),https://pk.linkedin.com/jobs/view/project-manager-islamabad-at-educative-inc-3664073603?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=UhILfFGYw1j4mL4yhfGZtQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Unilever,https://uk.linkedin.com/company/unilever?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",1 week ago,Unilever,Aspire for Unilever - Assistant Project Delivery Manager (APDM),https://pk.linkedin.com/jobs/view/aspire-for-unilever-assistant-project-delivery-manager-apdm-at-unilever-3704043966?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=JRXJSF9ZJUfk73%2BqpgakRA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",3 months ago,"Government  College University, Faisalabad",Research Associate Environmental Science & Engineering Project No. 5634/Punjab/NRPU/R&D/2016,https://pk.linkedin.com/jobs/view/research-associate-environmental-science-engineering-project-no-5634-punjab-nrpu-r-d-2016-at-government-college-university-faisalabad-3665317336?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=mlYolH8rlpO42lYpi6t%2BHA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",4 months ago,"Government  College University, Faisalabad",Position Vacant:Department of Botany,https://pk.linkedin.com/jobs/view/position-vacant-department-of-botany-at-government-college-university-faisalabad-3637107496?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=mooZlPs6xGhyb30gZ%2Bf8jA%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Creative Chaos,https://www.linkedin.com/company/creative-chaos?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,4 days ago,Creative Chaos,Product Manager,https://pk.linkedin.com/jobs/view/product-manager-at-creative-chaos-3729510790?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=0W34p62Og4CvOqj%2BpVshzw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Dastgyr,https://ae.linkedin.com/company/dastgyr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karachi Division, Sindh, Pakistan",1 month ago,Dastgyr,Data Scientist,https://pk.linkedin.com/jobs/view/data-scientist-at-dastgyr-3706740368?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=habQfKmpwuWGMFfsFW%2FpbQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
PakWheels.com,https://pk.linkedin.com/company/pakwheels?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",4 months ago,PakWheels.com,Business Development Executive - Karachi,https://pk.linkedin.com/jobs/view/business-development-executive-karachi-at-pakwheels-com-3625997122?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=%2Fa1AZzckzP458MCy23h7tA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Dawlance,https://pk.linkedin.com/company/dawlance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karachi Division, Sindh, Pakistan",2 weeks ago,Dawlance,Engineer Production Control,https://pk.linkedin.com/jobs/view/engineer-production-control-at-dawlance-3721061696?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=yDFGba9L9wxsExly%2BCrPZw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
AutoLeap,https://ca.linkedin.com/company/autoleap?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,2 weeks ago,AutoLeap,Content Associate,https://pk.linkedin.com/jobs/view/content-associate-at-autoleap-3719408688?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=uXx0xoBT8ZnyDnEdaFF1cg%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
AutoLeap,https://ca.linkedin.com/company/autoleap?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,2 weeks ago,AutoLeap,Product Support Specialist,https://pk.linkedin.com/jobs/view/product-support-specialist-at-autoleap-3719412126?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=sBXGtY9Zo0ThzHTmy%2Bm2Sg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Oxfam,https://uk.linkedin.com/company/oxfam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Islamabad, Islāmābād, Pakistan",4 days ago,Oxfam,FINANCE ASSISTANT,https://pk.linkedin.com/jobs/view/finance-assistant-at-oxfam-3729558643?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=Twa8M0Uo%2B4D4fjJwoIMMfw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Human Resource Solutions International - HRSI,https://pk.linkedin.com/company/hrsi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Quetta, Baluchistan, Pakistan",2 weeks ago,Human Resource Solutions International - HRSI,Electrician,https://pk.linkedin.com/jobs/view/electrician-at-human-resource-solutions-international-hrsi-3714632549?refId=fwfKNQm7kKiCba2fi6HmDw%3D%3D&trackingId=uST4uEyOgArCZYrLGz089A%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Creative Chaos,https://www.linkedin.com/company/creative-chaos?trk=public_jobs_jserp-result_job-search-card-subtitle,Pakistan,4 days ago,Creative Chaos,Product Manager,https://pk.linkedin.com/jobs/view/product-manager-at-creative-chaos-3729510790?refId=gW195UUWRZsKVz7RTQueqg%3D%3D&trackingId=kQ2A4lUN0%2Bahs4x7oaVa4w%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Dastgyr,https://ae.linkedin.com/company/dastgyr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karachi Division, Sindh, Pakistan",1 month ago,Dastgyr,Data Scientist,https://pk.linkedin.com/jobs/view/data-scientist-at-dastgyr-3706740368?refId=gW195UUWRZsKVz7RTQueqg%3D%3D&trackingId=fVWPYjNDFUCQKZg8skrEZg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",2 months ago,"Government  College University, Faisalabad",Position Vacant in the Department Mathematics under Higher Education Commission Project No.                                                  21-2503/SRGP/R&D/HEC/2019,https://pk.linkedin.com/jobs/view/position-vacant-in-the-department-mathematics-under-higher-education-commission-project-no-21-2503-srgp-r-d-hec-2019-at-government-college-university-faisalabad-3678469747?refId=gW195UUWRZsKVz7RTQueqg%3D%3D&trackingId=guztwW6e5oFE2aw1k6WL5Q%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Inbox Business Technologies,https://pk.linkedin.com/company/inbox-business-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Karāchi, Sindh, Pakistan",1 month ago,Inbox Business Technologies,Technical Support Officer,https://pk.linkedin.com/jobs/view/technical-support-officer-at-inbox-business-technologies-3684769819?refId=gW195UUWRZsKVz7RTQueqg%3D%3D&trackingId=VgJA5rRYr%2FhuEo%2BrOB%2B2eQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",3 months ago,"Government  College University, Faisalabad",HIV/AIDS Expert required for “Manual Development for HIV/AIDS Sensitization”,https://pk.linkedin.com/jobs/view/hiv-aids-expert-required-for-%E2%80%9Cmanual-development-for-hiv-aids-sensitization%E2%80%9D-at-government-college-university-faisalabad-3665317345?refId=gW195UUWRZsKVz7RTQueqg%3D%3D&trackingId=UO%2BZ1p9H%2BFQLgVrO9v2Xvw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
"Government  College University, Faisalabad",https://pk.linkedin.com/company/govt.-college-university-faisalabad?trk=public_jobs_jserp-result_job-search-card-subtitle,"Faisalabad, Punjab, Pakistan",4 months ago,"Government  College University, Faisalabad",Research Assistant Department of Environmental Sciences & Engineering,https://pk.linkedin.com/jobs/view/research-assistant-department-of-environmental-sciences-engineering-at-government-college-university-faisalabad-3637107515?refId=gW195UUWRZsKVz7RTQueqg%3D%3D&trackingId=XDZCOWBsz5zF5inECfuaqw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
